[2023-05-27 17:36:20] [sbx::graphics] [warning] : Layer VK_LAYER_OW_OVERLAY uses API version 1.2 which is older than the application specified API version of 1.3. May cause issues.
[2023-05-27 17:36:20] [sbx::graphics] [warning] : Layer VK_LAYER_OW_OBS_HOOK uses API version 1.2 which is older than the application specified API version of 1.3. May cause issues.
[2023-05-27 17:36:20] [sbx::graphics] [debug] : Selected GPU 'NVIDIA GeForce RTX 2070 SUPER'
[2023-05-27 17:36:20] [sbx::graphics] [debug] : Queue Family 0 supports 16 queues of type [Graphics|Compute|Transfer|Sparse Binding]
[2023-05-27 17:36:20] [sbx::graphics] [debug] : Queue Family 1 supports 2 queues of type [Transfer|Sparse Binding]
[2023-05-27 17:36:20] [sbx::graphics] [debug] : Queue Family 2 supports 8 queues of type [Compute|Transfer|Sparse Binding]
[2023-05-27 17:36:20] [sbx::graphics] [debug] : Queue Family 3 supports 1 queues of type [Transfer|Sparse Binding]
[2023-05-27 17:36:20] [sbx::graphics] [debug] : Pipeline 'basic' created in 2.0245ms
[2023-05-27 17:36:20] [sbx::graphics] [debug] : Mesh 'cube' with 8 vertices and 36 indices created in 2.5874ms
[2023-05-27 17:36:20] [sbx::graphics] [debug] : swapchain created with 3 images
[2023-05-27 17:36:24] [sbx::graphics] [debug] : swapchain created with 3 images
[2023-05-27 17:36:25] [sbx::graphics] [debug] : swapchain created with 3 images
[2023-05-27 17:36:26] [sbx::graphics] [debug] : swapchain created with 3 images
[2023-05-27 17:36:27] [sbx::graphics] [debug] : swapchain created with 3 images
[2023-05-27 17:36:28] [sbx::graphics] [debug] : swapchain created with 3 images
[2023-05-27 17:36:28] [sbx::graphics] [debug] : swapchain created with 3 images
[2023-05-27 17:36:30] [sbx::graphics] [debug] : swapchain created with 3 images
[2023-05-27 17:36:32] [sbx::graphics] [debug] : swapchain created with 3 images
[2023-05-27 17:36:33] [sbx::graphics] [debug] : swapchain created with 3 images
